epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9688,1.15572,4.6049,1.22421,0,0,0,0,0.95937,4.76783,1.09005,0,0,0
2,53.5783,1.10891,4.64472,1.21443,0,0,0,0,0.95872,4.76671,1.08894,1.70826e-06,1.70826e-06,1.70826e-06
3,76.3398,1.08255,4.62774,1.25309,0,0,0,0,0.95732,4.76573,1.08853,2.57304e-06,2.57304e-06,2.57304e-06
4,99.6497,1.17318,4.6698,1.25063,0,0,0,0,0.95381,4.7632,1.08779,2.59434e-06,2.59434e-06,2.59434e-06
5,125.874,1.14719,4.67544,1.22036,0,0,0,0,0.95223,4.76268,1.08843,1.77216e-06,1.77216e-06,1.77216e-06
