epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5013,1.23144,4.71238,1.24783,0,0,0,0,1.00218,4.82683,1.15878,0,0,0
2,22.7162,1.21575,4.67725,1.26151,0,0,0,0,1.00169,4.8258,1.15898,1.70826e-06,1.70826e-06,1.70826e-06
3,31.4995,1.1896,4.67565,1.2572,0,0,0,0,1.0042,4.82552,1.16159,2.57304e-06,2.57304e-06,2.57304e-06
4,40.2934,1.18088,4.65927,1.27605,0,0,0,0,1.00594,4.82582,1.16434,2.59434e-06,2.59434e-06,2.59434e-06
5,49.15,1.08178,4.60083,1.18329,0,0,0,0,1.00777,4.82756,1.16669,1.77216e-06,1.77216e-06,1.77216e-06
