epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1826,1.23144,4.71238,1.24783,0,0,0,0,1.00218,4.82683,1.15878,0,0,0
2,48.1773,1.06054,4.64518,1.18096,0,0,0,0,1.0033,4.82584,1.15892,1.70826e-06,1.70826e-06,1.70826e-06
3,63.4003,1.09767,4.63685,1.24851,0,0,0,0,1.00656,4.82566,1.16207,2.57304e-06,2.57304e-06,2.57304e-06
4,78.6204,1.18708,4.67716,1.29571,0,0,0,0,1.00908,4.82538,1.16593,2.59434e-06,2.59434e-06,2.59434e-06
5,94.0055,1.13021,4.61568,1.18664,0,0,0,0,1.01097,4.82624,1.16992,1.77216e-06,1.77216e-06,1.77216e-06
